name,url,price_text,review_score_text,recommended_unit_text
Villa Ekphrasis with sea view and jacuzzi,https://www.booking.com/hotel/gr/villa-ekphrasis.en-gb.html,,Scored 10 10 Exceptional 25 reviews,
Casa Dionysia - New Lux 2Br with Jacuzzi near Maleme Beach,https://www.booking.com/hotel/gr/casa-dionysia.en-gb.html,,Scored 9.1 9.1 Superb 31 reviews,
