name,url,price_text,review_score_text,recommended_unit_text
Ariadne Beach,https://www.booking.com/hotel/gr/ariadne-beach-kolios.en-gb.html,,Scored 9.1 9.1 Superb 342 reviews,
Platanias Aetheras Beach,https://www.booking.com/hotel/gr/aetheras-beach.en-gb.html,,Scored 9.6 9.6 Exceptional 130 reviews,
Maria Suites,https://www.booking.com/hotel/gr/maria-suites-platanias.en-gb.html,,Scored 9.3 9.3 Superb 200 reviews,
Maleme Kefi,https://www.booking.com/hotel/gr/maleme-kefi-platanias.en-gb.html,,Scored 9.6 9.6 Exceptional 8 reviews,
Bay View Apartments,https://www.booking.com/hotel/gr/bay-view.en-gb.html,,Scored 9.3 9.3 Superb 66 reviews,
Mythos Beach Hotel Apartments,https://www.booking.com/hotel/gr/mythos-beach.en-gb.html,,Scored 9.0 9.0 Superb 440 reviews,
Konaki Apartments,https://www.booking.com/hotel/gr/konaki-apartments.en-gb.html,,Scored 9.1 9.1 Superb 390 reviews,
Ledra Maleme Hotel,https://www.booking.com/hotel/gr/ledra-maleme.en-gb.html,,Scored 9.0 9.0 Superb 433 reviews,
Wave rooms,https://www.booking.com/hotel/gr/wave-chania.en-gb.html,,Scored 9.7 9.7 Exceptional 28 reviews,
Solon Apartments Near Beach,https://www.booking.com/hotel/gr/solon-apartments.en-gb.html,,Scored 9.7 9.7 Exceptional 156 reviews,
Oliva Beach Hotel,https://www.booking.com/hotel/gr/katrin-beach.en-gb.html,,Scored 9.5 9.5 Exceptional 271 reviews,
Villa Kudos,https://www.booking.com/hotel/gr/villa-kudos.en-gb.html,,Scored 9.9 9.9 Exceptional 28 reviews,
Casa Constans,https://www.booking.com/hotel/gr/casa-constans-khania.en-gb.html,,Scored 9.6 9.6 Exceptional 25 reviews,
Aegean Breeze Luxury Apartments next to the sea,https://www.booking.com/hotel/gr/aegean-breeze-apartments.en-gb.html,,Scored 9.5 9.5 Exceptional 350 reviews,
Alexandros M,https://www.booking.com/hotel/gr/alexandros-m.en-gb.html,,Scored 9.4 9.4 Superb 21 reviews,
Villa Palma,https://www.booking.com/hotel/gr/villa-palma.en-gb.html,,Scored 8.7 8.7 Fabulous 14 reviews,
Villa Pandora - Petit Bonheur,https://www.booking.com/hotel/gr/lucky-guest-villa-pandora-maleme-platanias.en-gb.html,,Scored 8.0 8.0 Very good 11 reviews,
Villa Avly,https://www.booking.com/hotel/gr/villa-avly.en-gb.html,,Scored 9.8 9.8 Exceptional 11 reviews,
Van Gogh & Monet apartments,https://www.booking.com/hotel/gr/van-gogh-amp-monet-apartments.en-gb.html,,Scored 9.9 9.9 Exceptional 9 reviews,
Cocoon Luxury Villas,https://www.booking.com/hotel/gr/luxury-villa-cocoon.en-gb.html,,Scored 9.0 9.0 Superb 18 reviews,
Daphnis Villas,https://www.booking.com/hotel/gr/daphnis-villas.en-gb.html,,Scored 9.9 9.9 Exceptional 13 reviews,
Futura Hotel,https://www.booking.com/hotel/gr/futurahotel.en-gb.html,,Scored 9.1 9.1 Superb 112 reviews,
Noir Residence - Chic 2Br House Near Maleme Beach,https://www.booking.com/hotel/gr/noir-residence-modern-chic-house-near-the-beach.en-gb.html,,Scored 9.4 9.4 Superb 13 reviews,
Villa Bamboo,https://www.booking.com/hotel/gr/villa-bamboo.en-gb.html,,Scored 10 10 Exceptional 13 reviews,
Maleme Maisonette,https://www.booking.com/hotel/gr/maleme-maisonette.en-gb.html,,Scored 9.3 9.3 Superb 6 reviews,
"Iason Villas – Chania, Crete",https://www.booking.com/hotel/gr/villa-iason.en-gb.html,,Scored 9.2 9.2 Superb 49 reviews,
Villa Per Mare,https://www.booking.com/hotel/gr/villa-per-mare.en-gb.html,,Scored 9.6 9.6 Exceptional 10 reviews,
house in the village near the sea,https://www.booking.com/hotel/gr/house-in-the-village-near-the-sea.en-gb.html,,Scored 9.0 9.0 Superb 21 reviews,
Esperado Gardens Maleme,https://www.booking.com/hotel/gr/esperado-gardens-maleme.en-gb.html,,,
Gemini Villas - Villa Calma & Siesta,https://www.booking.com/hotel/gr/gemini-villas-calma-amp-siesta.en-gb.html,,,
Eva Suites & Apartments,https://www.booking.com/hotel/gr/eva-khania.en-gb.html,,Scored 8.5 8.5 Very good 795 reviews,
Rhoe Seaside Apartments,https://www.booking.com/hotel/gr/manos-apartments-khania.en-gb.html,,Scored 9.4 9.4 Superb 182 reviews,
Abella Hotel,https://www.booking.com/hotel/gr/abella-khania-pole.en-gb.html,,Scored 9.3 9.3 Superb 488 reviews,
Nicolas Studios & Apartments,https://www.booking.com/hotel/gr/nicolas-studios-chania.en-gb.html,,Scored 9.7 9.7 Exceptional 131 reviews,
Raisakis Apartments,https://www.booking.com/hotel/gr/raisakis.en-gb.html,,Scored 9.7 9.7 Exceptional 88 reviews,
Angelica Studios and Apartments,https://www.booking.com/hotel/gr/angelica-studios-and-apartments.en-gb.html,,Scored 9.4 9.4 Superb 263 reviews,
Sun Ray Luxury Apartments,https://www.booking.com/hotel/gr/sun-ray-luxury-room-101.en-gb.html,,Scored 9.3 9.3 Superb 259 reviews,
Ekavi Apartments,https://www.booking.com/hotel/gr/ekavi-apartment.en-gb.html,,Scored 9.1 9.1 Superb 295 reviews,
Erofili,https://www.booking.com/hotel/gr/erofili-khania.en-gb.html,,Scored 9.4 9.4 Superb 26 reviews,
Despina Studios,https://www.booking.com/hotel/gr/despina-studios-agia-marina.en-gb.html,,Scored 9.6 9.6 Exceptional 102 reviews,
El Greco Studios,https://www.booking.com/hotel/gr/el-greco-studios-agia-marina-nea-kydonias.en-gb.html,,Scored 9.6 9.6 Exceptional 160 reviews,
Anna Αpartments II,https://www.booking.com/hotel/gr/anna-apartments-ii.en-gb.html,,Scored 9.4 9.4 Superb 155 reviews,
Villa Aretousa 2,https://www.booking.com/hotel/gr/villa-aretousa-2.en-gb.html,,Scored 9.5 9.5 Exceptional 18 reviews,
Orion Star,https://www.booking.com/hotel/gr/orion-maisonettes.en-gb.html,,Scored 9.1 9.1 Superb 209 reviews,
Litinakis Studios Sea View & Litinakis Studios Garden View 700 meters away,https://www.booking.com/hotel/gr/litinakis-studios-agia-marina-chania.en-gb.html,,Scored 9.9 9.9 Exceptional 125 reviews,
Rubini Homes,https://www.booking.com/hotel/gr/roumpini-villas.en-gb.html,,Scored 9.3 9.3 Superb 100 reviews,
Like Home,https://www.booking.com/hotel/gr/like-home-agia-marina.en-gb.html,,Scored 9.3 9.3 Superb 119 reviews,
Elysian Luxury Suites in Chania,https://www.booking.com/hotel/gr/elysian-luxury-suites-in-chania.en-gb.html,,Scored 10 10 Exceptional 3 reviews,
Queen Mary Beachfront Studios,https://www.booking.com/hotel/gr/queen-mary.en-gb.html,,Scored 9.0 9.0 Superb 126 reviews,
Villa Aretousa 1,https://www.booking.com/hotel/gr/villa-aretousa-1.en-gb.html,,Scored 9.9 9.9 Exceptional 17 reviews,
Romeos Studios,https://www.booking.com/hotel/gr/elsa-studios.en-gb.html,,Scored 9.1 9.1 Superb 106 reviews,
Dias Hotel Apartments,https://www.booking.com/hotel/gr/dias-apartments-agia-marina-neas-kydonias.en-gb.html,,Scored 9.3 9.3 Superb 80 reviews,
Manolia Dream Apartment 3-bedrooms 30m to the beach,https://www.booking.com/hotel/gr/magnolia-apartments-agia-marina.en-gb.html,,Scored 9.4 9.4 Superb 33 reviews,
Lavender Villas Chania,https://www.booking.com/hotel/gr/lavender-villas-chania.en-gb.html,,Scored 9.7 9.7 Exceptional 32 reviews,
Eden Beach Hotel,https://www.booking.com/hotel/gr/eden-agia-marina-nea-kydonias.en-gb.html,,Scored 9.4 9.4 Superb 386 reviews,
Molos Apartments,https://www.booking.com/hotel/gr/molos-apartments.en-gb.html,,Scored 9.1 9.1 Superb 303 reviews,
